_id,date,center_name,attendance_count
37277908,2024-11-20,Brookline Community Center,27
37277909,2024-11-20,Magee Community Center,24
37277910,2024-11-20,Ormsby Community Center,8
37277911,2024-11-20,Paulson Community Center,21
37277912,2024-11-20,Warrington Community Center,60
37277913,2024-11-20,West Penn Community Center,135
37277914,2024-11-19,Arlington Community Center,32
37277915,2024-11-19,Ammon Community Center,26
37277916,2024-11-19,Brookline Community Center,51
37277917,2024-11-19,Magee Community Center,31
37277918,2024-11-19,Jefferson Community Center,58
37277919,2024-11-19,Paulson Community Center,22
37277920,2024-11-19,Ormsby Community Center,12
37277921,2024-11-19,West Penn Community Center,176
37277922,2024-11-19,Warrington Community Center,66
37277923,2024-11-18,Ammon Community Center,2
37277924,2024-11-18,Arlington Community Center,27
37277925,2024-11-18,Brookline Community Center,42
37277926,2024-11-18,Jefferson Community Center,31
37277927,2024-11-18,Magee Community Center,44
37277928,2024-11-18,Ormsby Community Center,13
37277929,2024-11-18,Paulson Community Center,29
37277930,2024-11-18,Warrington Community Center,67
37277931,2024-11-18,West Penn Community Center,53
37277932,2024-11-16,Ammon Community Center,7
37277933,2024-11-16,Brookline Community Center,9
37277934,2024-11-16,Magee Community Center,2
37277935,2024-11-16,Paulson Community Center,7
37277936,2024-11-16,Ormsby Community Center,4
37277937,2024-11-16,West Penn Community Center,22
37277938,2024-11-16,Warrington Community Center,2
37277939,2024-11-15,Ammon Community Center,34
37277940,2024-11-15,Arlington Community Center,15
37277941,2024-11-15,Brookline Community Center,25
37277942,2024-11-15,Magee Community Center,62
37277943,2024-11-15,Jefferson Community Center,67
37277944,2024-11-15,Ormsby Community Center,10
37277945,2024-11-15,Paulson Community Center,19
37277946,2024-11-15,Warrington Community Center,58
37277947,2024-11-15,West Penn Community Center,55
37277948,2024-11-14,Arlington Community Center,19
37277949,2024-11-14,Ammon Community Center,3
37277950,2024-11-14,Brookline Community Center,50
37277951,2024-11-14,Jefferson Community Center,57
37277952,2024-11-14,Magee Community Center,23
37277953,2024-11-14,Paulson Community Center,17
37277954,2024-11-14,Ormsby Community Center,4
37277955,2024-11-14,West Penn Community Center,137
37277956,2024-11-14,Warrington Community Center,28
37277957,2024-11-13,Arlington Community Center,70
37277958,2024-11-13,Brookline Community Center,26
37277959,2024-11-13,Magee Community Center,28
37277960,2024-11-13,Jefferson Community Center,63
37277961,2024-11-13,Ormsby Community Center,11
37277962,2024-11-13,Paulson Community Center,25
37277963,2024-11-13,Warrington Community Center,68
37277964,2024-11-13,West Penn Community Center,101
37277965,2024-11-12,Arlington Community Center,29
37277966,2024-11-12,Ammon Community Center,4
37277967,2024-11-12,Brookline Community Center,47
37277968,2024-11-12,Jefferson Community Center,61
37277969,2024-11-12,Magee Community Center,22
37277970,2024-11-12,Paulson Community Center,23
37277971,2024-11-12,Ormsby Community Center,8
37277972,2024-11-12,West Penn Community Center,263
37277973,2024-11-12,Warrington Community Center,78
37277974,2024-11-09,Magee Community Center,1
37277975,2024-11-08,Ammon Community Center,7
37277976,2024-11-08,Arlington Community Center,31
37277977,2024-11-08,Brookline Community Center,31
37277978,2024-11-08,Magee Community Center,32
37277979,2024-11-08,Jefferson Community Center,40
37277980,2024-11-08,Ormsby Community Center,4
37277981,2024-11-08,Paulson Community Center,20
37277982,2024-11-08,Warrington Community Center,55
37277983,2024-11-08,West Penn Community Center,26
37277984,2024-11-07,Arlington Community Center,21
37277985,2024-11-07,Ammon Community Center,29
37277986,2024-11-07,Brookline Community Center,43
37277987,2024-11-07,Jefferson Community Center,43
37277988,2024-11-07,Magee Community Center,39
37277989,2024-11-07,Paulson Community Center,18
37277990,2024-11-07,Ormsby Community Center,11
37277991,2024-11-07,West Penn Community Center,106
37277992,2024-11-07,Warrington Community Center,32
37277993,2024-11-06,Ammon Community Center,4
37277994,2024-11-06,Arlington Community Center,64
37277995,2024-11-06,Brookline Community Center,21
37277996,2024-11-06,Magee Community Center,34
37277997,2024-11-06,Jefferson Community Center,35
37277998,2024-11-06,Ormsby Community Center,7
37277999,2024-11-06,Paulson Community Center,32
37278000,2024-11-06,Warrington Community Center,57
37278001,2024-11-06,West Penn Community Center,116
37278002,2024-11-05,Arlington Community Center,1
37278003,2024-11-05,Brookline Community Center,1
37278004,2024-11-05,Magee Community Center,29
37278005,2024-11-05,Ormsby Community Center,5
37278006,2024-11-05,West Penn Community Center,2
37278007,2024-11-04,Ammon Community Center,4
37278008,2024-11-04,Brookline Community Center,34
37278009,2024-11-04,Magee Community Center,44
37278010,2024-11-04,Jefferson Community Center,34
37278011,2024-11-04,Ormsby Community Center,7
37278012,2024-11-04,Paulson Community Center,21
37278013,2024-11-04,West Penn Community Center,78
37278014,2024-11-04,Warrington Community Center,68
37278015,2024-11-02,Ammon Community Center,1
37278016,2024-11-02,Brookline Community Center,11
37278017,2024-11-02,Magee Community Center,3
37278018,2024-11-02,Paulson Community Center,7
37278019,2024-11-02,Ormsby Community Center,1
37278020,2024-11-02,Warrington Community Center,4
37278021,2024-11-02,West Penn Community Center,59
37278022,2024-11-01,Ammon Community Center,14
37278023,2024-11-01,Arlington Community Center,16
37278024,2024-11-01,Brookline Community Center,27
37278025,2024-11-01,Magee Community Center,36
37278026,2024-11-01,Jefferson Community Center,57
37278027,2024-11-01,Ormsby Community Center,5
37278028,2024-11-01,Paulson Community Center,27
37278029,2024-11-01,West Penn Community Center,55
37278030,2024-11-01,Warrington Community Center,34
37278031,2024-10-31,Ammon Community Center,6
37278032,2024-10-31,Brookline Community Center,37
37278033,2024-10-31,Jefferson Community Center,42
37278034,2024-10-31,Magee Community Center,11
37278035,2024-10-31,Paulson Community Center,17
37278036,2024-10-31,Ormsby Community Center,3
37278037,2024-10-31,Warrington Community Center,17
37278038,2024-10-31,West Penn Community Center,129
37278039,2024-10-30,Ammon Community Center,32
37278040,2024-10-30,Arlington Community Center,83
37278041,2024-10-30,Brookline Community Center,29
37278042,2024-10-30,Magee Community Center,30
37278043,2024-10-30,Jefferson Community Center,70
37278044,2024-10-30,Ormsby Community Center,10
37278045,2024-10-30,Paulson Community Center,31
37278046,2024-10-30,West Penn Community Center,57
37278047,2024-10-30,Warrington Community Center,51
37278048,2024-10-29,Arlington Community Center,33
37278049,2024-10-29,Ammon Community Center,30
37278050,2024-10-29,Brookline Community Center,39
37278051,2024-10-29,Jefferson Community Center,54
37278052,2024-10-29,Magee Community Center,13
37278053,2024-10-29,Paulson Community Center,23
37278054,2024-10-29,Ormsby Community Center,8
37278055,2024-10-29,Warrington Community Center,34
37278056,2024-10-29,West Penn Community Center,142
37278057,2024-10-28,Ammon Community Center,33
37278058,2024-10-28,Arlington Community Center,34
37278059,2024-10-28,Brookline Community Center,28
37278060,2024-10-28,Magee Community Center,32
37278061,2024-10-28,Jefferson Community Center,36
37278062,2024-10-28,Ormsby Community Center,10
37278063,2024-10-28,Paulson Community Center,20
37278064,2024-10-28,West Penn Community Center,56
37278065,2024-10-28,Warrington Community Center,26
37278066,2024-10-26,Brookline Community Center,3
37278067,2024-10-26,Magee Community Center,4
37278068,2024-10-26,Paulson Community Center,1
37278069,2024-10-26,Ormsby Community Center,4
37278070,2024-10-26,Warrington Community Center,12
37278071,2024-10-26,West Penn Community Center,25
37278072,2024-10-25,Arlington Community Center,31
37278073,2024-10-25,Ammon Community Center,19
37278074,2024-10-25,Brookline Community Center,26
37278075,2024-10-25,Magee Community Center,44
37278076,2024-10-25,Jefferson Community Center,34
37278077,2024-10-25,Ormsby Community Center,6
37278078,2024-10-25,Paulson Community Center,26
37278079,2024-10-25,West Penn Community Center,28
37278080,2024-10-25,Warrington Community Center,45
37278081,2024-10-24,Ammon Community Center,14
37278082,2024-10-24,Brookline Community Center,33
37278083,2024-10-24,Jefferson Community Center,34
37278084,2024-10-24,Magee Community Center,34
37278085,2024-10-24,Paulson Community Center,20
37278086,2024-10-24,Ormsby Community Center,12
37278087,2024-10-24,Warrington Community Center,30
37278088,2024-10-24,West Penn Community Center,104
37278089,2024-10-23,Ammon Community Center,8
37278090,2024-10-23,Arlington Community Center,77
37278091,2024-10-23,Brookline Community Center,29
37278092,2024-10-23,Magee Community Center,31
37278093,2024-10-23,Jefferson Community Center,77
37278094,2024-10-23,Ormsby Community Center,11
37278095,2024-10-23,Paulson Community Center,16
37278096,2024-10-23,West Penn Community Center,49
37278097,2024-10-23,Warrington Community Center,59
37278098,2024-10-22,Arlington Community Center,32
37278099,2024-10-22,Ammon Community Center,6
37278100,2024-10-22,Brookline Community Center,44
37278101,2024-10-22,Jefferson Community Center,25
37278102,2024-10-22,Magee Community Center,21
37278103,2024-10-22,Paulson Community Center,25
37278104,2024-10-22,Ormsby Community Center,10
37278105,2024-10-22,Warrington Community Center,33
37278106,2024-10-22,West Penn Community Center,154
37278107,2024-10-21,Ammon Community Center,7
37278108,2024-10-21,Arlington Community Center,24
37278109,2024-10-21,Brookline Community Center,19
37278110,2024-10-21,Magee Community Center,31
37278111,2024-10-21,Jefferson Community Center,33
37278112,2024-10-21,Ormsby Community Center,12
37278113,2024-10-21,Paulson Community Center,23
37278114,2024-10-21,West Penn Community Center,59
37278115,2024-10-21,Warrington Community Center,26
37278116,2024-10-19,Brookline Community Center,7
37278117,2024-10-19,Magee Community Center,3
37278118,2024-10-19,Paulson Community Center,3
37278119,2024-10-19,Ormsby Community Center,2
37278120,2024-10-19,Warrington Community Center,3
37278121,2024-10-19,West Penn Community Center,21
37278122,2024-10-18,Arlington Community Center,11
37278123,2024-10-18,Ammon Community Center,18
37278124,2024-10-18,Brookline Community Center,32
37278125,2024-10-18,Magee Community Center,44
37278126,2024-10-18,Jefferson Community Center,72
37278127,2024-10-18,Ormsby Community Center,6
37278128,2024-10-18,Paulson Community Center,27
37278129,2024-10-18,West Penn Community Center,42
37278130,2024-10-18,Warrington Community Center,28
37278131,2024-10-17,Ammon Community Center,13
37278132,2024-10-17,Arlington Community Center,6
37278133,2024-10-17,Brookline Community Center,35
37278134,2024-10-17,Jefferson Community Center,32
37278135,2024-10-17,Magee Community Center,19
37278136,2024-10-17,Paulson Community Center,31
37278137,2024-10-17,Ormsby Community Center,7
37278138,2024-10-17,Warrington Community Center,46
37278139,2024-10-17,West Penn Community Center,116
37278140,2024-10-16,Arlington Community Center,79
37278141,2024-10-16,Ammon Community Center,4
37278142,2024-10-16,Brookline Community Center,21
37278143,2024-10-16,Magee Community Center,30
37278144,2024-10-16,Jefferson Community Center,58
37278145,2024-10-16,Ormsby Community Center,11
37278146,2024-10-16,Paulson Community Center,21
37278147,2024-10-16,West Penn Community Center,64
37278148,2024-10-16,Warrington Community Center,66
37278149,2024-10-15,Ammon Community Center,16
37278150,2024-10-15,Arlington Community Center,15
37278151,2024-10-15,Brookline Community Center,45
37278152,2024-10-15,Jefferson Community Center,67
37278153,2024-10-15,Magee Community Center,26
37278154,2024-10-15,Paulson Community Center,19
37278155,2024-10-15,Ormsby Community Center,10
37278156,2024-10-15,Warrington Community Center,26
37278157,2024-10-15,West Penn Community Center,141
37278158,2024-10-14,Arlington Community Center,28
37278159,2024-10-14,Ammon Community Center,31
37278160,2024-10-14,Brookline Community Center,29
37278161,2024-10-14,Magee Community Center,23
37278162,2024-10-14,Jefferson Community Center,20
37278163,2024-10-14,Ormsby Community Center,20
37278164,2024-10-14,Paulson Community Center,23
37278165,2024-10-14,West Penn Community Center,59
37278166,2024-10-14,Warrington Community Center,37
37278167,2024-10-12,Ammon Community Center,2
37278168,2024-10-12,Brookline Community Center,7
37278169,2024-10-12,Magee Community Center,3
37278170,2024-10-12,Ormsby Community Center,1
37278171,2024-10-12,Warrington Community Center,8
37278172,2024-10-12,West Penn Community Center,26
37278173,2024-10-11,Ammon Community Center,6
37278174,2024-10-11,Arlington Community Center,13
37278175,2024-10-11,Brookline Community Center,29
37278176,2024-10-11,Magee Community Center,41
37278177,2024-10-11,Jefferson Community Center,71
37278178,2024-10-11,Ormsby Community Center,10
37278179,2024-10-11,Paulson Community Center,36
37278180,2024-10-11,West Penn Community Center,42
37278181,2024-10-11,Warrington Community Center,54
37278182,2024-10-10,Arlington Community Center,12
37278183,2024-10-10,Ammon Community Center,6
37278184,2024-10-10,Brookline Community Center,33
37278185,2024-10-10,Jefferson Community Center,36
37278186,2024-10-10,Magee Community Center,27
37278187,2024-10-10,Paulson Community Center,13
37278188,2024-10-10,Ormsby Community Center,7
37278189,2024-10-10,Warrington Community Center,46
37278190,2024-10-10,West Penn Community Center,47
37278191,2024-10-09,Ammon Community Center,7
37278192,2024-10-09,Arlington Community Center,99
37278193,2024-10-09,Brookline Community Center,20
37278194,2024-10-09,Magee Community Center,28
37278195,2024-10-09,Jefferson Community Center,66
37278196,2024-10-09,Ormsby Community Center,7
37278197,2024-10-09,Paulson Community Center,34
37278198,2024-10-09,West Penn Community Center,60
37278199,2024-10-09,Warrington Community Center,30
37278200,2024-10-08,Arlington Community Center,12
37278201,2024-10-08,Ammon Community Center,6
37278202,2024-10-08,Brookline Community Center,52
37278203,2024-10-08,Jefferson Community Center,75
37278204,2024-10-08,Magee Community Center,32
37278205,2024-10-08,Paulson Community Center,28
37278206,2024-10-08,Ormsby Community Center,20
37278207,2024-10-08,Warrington Community Center,55
37278208,2024-10-08,West Penn Community Center,60
37278209,2024-10-07,Ammon Community Center,9
37278210,2024-10-07,Arlington Community Center,6
37278211,2024-10-07,Brookline Community Center,30
37278212,2024-10-07,Magee Community Center,34
37278213,2024-10-07,Jefferson Community Center,28
37278214,2024-10-07,Ormsby Community Center,12
37278215,2024-10-07,Paulson Community Center,28
37278216,2024-10-07,West Penn Community Center,65
37278217,2024-10-07,Warrington Community Center,36
37278218,2024-10-05,Ammon Community Center,1
37278219,2024-10-05,Brookline Community Center,10
37278220,2024-10-05,Magee Community Center,2
37278221,2024-10-05,Paulson Community Center,9
37278222,2024-10-05,Ormsby Community Center,2
37278223,2024-10-05,Warrington Community Center,16
37278224,2024-10-05,West Penn Community Center,17
37278225,2024-10-04,Ammon Community Center,18
37278226,2024-10-04,Arlington Community Center,9
37278227,2024-10-04,Brookline Community Center,27
37278228,2024-10-04,Magee Community Center,53
37278229,2024-10-04,Jefferson Community Center,39
37278230,2024-10-04,Ormsby Community Center,4
37278231,2024-10-04,Paulson Community Center,30
37278232,2024-10-04,West Penn Community Center,41
37278233,2024-10-04,Warrington Community Center,24
37278234,2024-10-03,Arlington Community Center,2
37278235,2024-10-03,Ammon Community Center,5
37278236,2024-10-03,Brookline Community Center,40
37278237,2024-10-03,Magee Community Center,24
37278238,2024-10-03,Paulson Community Center,14
37278239,2024-10-03,Ormsby Community Center,9
37278240,2024-10-03,Warrington Community Center,20
37278241,2024-10-03,West Penn Community Center,38
37278242,2024-10-02,Ammon Community Center,5
37278243,2024-10-02,Arlington Community Center,57
37278244,2024-10-02,Brookline Community Center,26
37278245,2024-10-02,Magee Community Center,36
37278246,2024-10-02,Jefferson Community Center,41
37278247,2024-10-02,Ormsby Community Center,12
37278248,2024-10-02,Paulson Community Center,34
37278249,2024-10-02,West Penn Community Center,42
37278250,2024-10-02,Warrington Community Center,21
37278251,2024-10-01,Arlington Community Center,16
37278252,2024-10-01,Ammon Community Center,3
37278253,2024-10-01,Brookline Community Center,54
37278254,2024-10-01,Jefferson Community Center,34
37278255,2024-10-01,Magee Community Center,28
37278256,2024-10-01,Paulson Community Center,14
37278257,2024-10-01,Ormsby Community Center,15
37278258,2024-10-01,Warrington Community Center,26
37278259,2024-10-01,West Penn Community Center,83
37278260,2024-09-30,Ammon Community Center,8
37278261,2024-09-30,Arlington Community Center,7
37278262,2024-09-30,Brookline Community Center,25
37278263,2024-09-30,Magee Community Center,19
37278264,2024-09-30,Jefferson Community Center,26
37278265,2024-09-30,Ormsby Community Center,13
37278266,2024-09-30,Paulson Community Center,28
37278267,2024-09-30,West Penn Community Center,56
37278268,2024-09-30,Warrington Community Center,26
37278269,2024-09-28,Brookline Community Center,13
37278270,2024-09-28,Magee Community Center,2
37278271,2024-09-28,Paulson Community Center,4
37278272,2024-09-28,Ormsby Community Center,1
37278273,2024-09-28,Warrington Community Center,3
37278274,2024-09-28,West Penn Community Center,22
37278275,2024-09-27,Arlington Community Center,15
37278276,2024-09-27,Ammon Community Center,12
37278277,2024-09-27,Brookline Community Center,17
37278278,2024-09-27,Magee Community Center,45
37278279,2024-09-27,Jefferson Community Center,31
37278280,2024-09-27,Ormsby Community Center,9
37278281,2024-09-27,Paulson Community Center,25
37278282,2024-09-27,West Penn Community Center,56
37278283,2024-09-27,Warrington Community Center,13
37278284,2024-09-26,Ammon Community Center,15
37278285,2024-09-26,Arlington Community Center,8
37278286,2024-09-26,Brookline Community Center,42
37278287,2024-09-26,Jefferson Community Center,19
37278288,2024-09-26,Magee Community Center,36
37278289,2024-09-26,Paulson Community Center,17
37278290,2024-09-26,Ormsby Community Center,7
37278291,2024-09-26,Warrington Community Center,11
37278292,2024-09-26,West Penn Community Center,35
37278293,2024-09-25,Arlington Community Center,73
37278294,2024-09-25,Ammon Community Center,10
37278295,2024-09-25,Brookline Community Center,34
37278296,2024-09-25,Magee Community Center,32
37278297,2024-09-25,Jefferson Community Center,24
37278298,2024-09-25,Ormsby Community Center,14
37278299,2024-09-25,Paulson Community Center,21
37278300,2024-09-25,West Penn Community Center,75
37278301,2024-09-25,Warrington Community Center,23
37278302,2024-09-24,Ammon Community Center,3
37278303,2024-09-24,Arlington Community Center,31
37278304,2024-09-24,Brookline Community Center,50
37278305,2024-09-24,Jefferson Community Center,31
37278306,2024-09-24,Magee Community Center,38
37278307,2024-09-24,Paulson Community Center,14
37278308,2024-09-24,Ormsby Community Center,11
37278309,2024-09-24,Warrington Community Center,17
37278310,2024-09-24,West Penn Community Center,57
37278311,2024-09-23,Arlington Community Center,11
37278312,2024-09-23,Ammon Community Center,13
37278313,2024-09-23,Brookline Community Center,40
37278314,2024-09-23,Magee Community Center,45
37278315,2024-09-23,Jefferson Community Center,31
37278316,2024-09-23,Ormsby Community Center,10
37278317,2024-09-23,Paulson Community Center,28
37278318,2024-09-23,West Penn Community Center,57
37278319,2024-09-23,Warrington Community Center,25
37278320,2024-09-21,Ammon Community Center,1
37278321,2024-09-21,Brookline Community Center,4
37278322,2024-09-21,Magee Community Center,2
37278323,2024-09-21,Paulson Community Center,5
37278324,2024-09-21,Ormsby Community Center,1
37278325,2024-09-21,Warrington Community Center,5
37278326,2024-09-21,West Penn Community Center,31
37278327,2024-09-20,Ammon Community Center,6
37278328,2024-09-20,Arlington Community Center,10
37278329,2024-09-20,Brookline Community Center,25
37278330,2024-09-20,Magee Community Center,28
37278331,2024-09-20,Jefferson Community Center,23
37278332,2024-09-20,Ormsby Community Center,6
37278333,2024-09-20,Paulson Community Center,30
37278334,2024-09-20,West Penn Community Center,32
37278335,2024-09-20,Warrington Community Center,20
37278336,2024-09-19,Arlington Community Center,11
37278337,2024-09-19,Ammon Community Center,11
37278338,2024-09-19,Brookline Community Center,38
37278339,2024-09-19,Jefferson Community Center,32
37278340,2024-09-19,Magee Community Center,48
37278341,2024-09-19,Paulson Community Center,15
37278342,2024-09-19,Ormsby Community Center,13
37278343,2024-09-19,Warrington Community Center,11
37278344,2024-09-19,West Penn Community Center,23
37278345,2024-09-18,Arlington Community Center,5
37278346,2024-09-18,Brookline Community Center,35
37278347,2024-09-18,Magee Community Center,33
37278348,2024-09-18,Jefferson Community Center,29
37278349,2024-09-18,Ormsby Community Center,10
37278350,2024-09-18,Paulson Community Center,20
37278351,2024-09-18,West Penn Community Center,62
37278352,2024-09-18,Warrington Community Center,23
37278353,2024-09-17,Arlington Community Center,8
37278354,2024-09-17,Ammon Community Center,15
37278355,2024-09-17,Brookline Community Center,46
37278356,2024-09-17,Jefferson Community Center,15
37278357,2024-09-17,Magee Community Center,24
37278358,2024-09-17,Paulson Community Center,27
37278359,2024-09-17,Ormsby Community Center,7
37278360,2024-09-17,Warrington Community Center,17
37278361,2024-09-17,West Penn Community Center,85
37278362,2024-09-16,Ammon Community Center,9
37278363,2024-09-16,Arlington Community Center,7
37278364,2024-09-16,Brookline Community Center,38
37278365,2024-09-16,Magee Community Center,28
37278366,2024-09-16,Jefferson Community Center,23
37278367,2024-09-16,Ormsby Community Center,8
37278368,2024-09-16,Paulson Community Center,28
37278369,2024-09-16,West Penn Community Center,46
37278370,2024-09-16,Warrington Community Center,12
37278371,2024-09-15,Magee Community Center,1
37278372,2024-09-14,Brookline Community Center,8
37278373,2024-09-14,Magee Community Center,6
37278374,2024-09-14,Paulson Community Center,4
37278375,2024-09-14,Ormsby Community Center,1
37278376,2024-09-14,Warrington Community Center,1
37278377,2024-09-14,West Penn Community Center,23
37278378,2024-09-13,Arlington Community Center,3
37278379,2024-09-13,Ammon Community Center,16
37278380,2024-09-13,Brookline Community Center,26
37278381,2024-09-13,Magee Community Center,29
37278382,2024-09-13,Ormsby Community Center,9
37278383,2024-09-13,Paulson Community Center,22
37278384,2024-09-13,West Penn Community Center,28
37278385,2024-09-13,Warrington Community Center,8
37278386,2024-09-12,Ammon Community Center,4
37278387,2024-09-12,Arlington Community Center,1
37278388,2024-09-12,Brookline Community Center,8
37278389,2024-09-12,Magee Community Center,54
37278390,2024-09-12,Paulson Community Center,27
37278391,2024-09-12,Ormsby Community Center,8
37278392,2024-09-12,Warrington Community Center,5
37278393,2024-09-12,West Penn Community Center,29
37278394,2024-09-11,Arlington Community Center,11
37278395,2024-09-11,Ammon Community Center,1
37278396,2024-09-11,Brookline Community Center,27
37278397,2024-09-11,Magee Community Center,30
37278398,2024-09-11,Ormsby Community Center,8
37278399,2024-09-11,Paulson Community Center,19
37278400,2024-09-11,West Penn Community Center,72
37278401,2024-09-11,Warrington Community Center,18
37278402,2024-09-10,Ammon Community Center,3
37278403,2024-09-10,Brookline Community Center,31
37278404,2024-09-10,Magee Community Center,34
37278405,2024-09-10,Paulson Community Center,17
37278406,2024-09-10,Ormsby Community Center,8
37278407,2024-09-10,Warrington Community Center,14
37278408,2024-09-10,West Penn Community Center,39
37278409,2024-09-09,Phillips Community Center,2
37278410,2024-09-09,Ammon Community Center,3
37278411,2024-09-09,Arlington Community Center,3
37278412,2024-09-09,Brookline Community Center,41
37278413,2024-09-09,Magee Community Center,43
37278414,2024-09-09,Jefferson Community Center,9
37278415,2024-09-09,Ormsby Community Center,5
37278416,2024-09-09,Paulson Community Center,17
37278417,2024-09-09,West Penn Community Center,86
37278418,2024-09-09,Warrington Community Center,15
37278419,2024-09-07,Brookline Community Center,11
37278420,2024-09-07,Magee Community Center,5
37278421,2024-09-07,Paulson Community Center,8
37278422,2024-09-07,West Penn Community Center,29
37278423,2024-09-06,Phillips Community Center,2
37278424,2024-09-06,Ammon Community Center,1
37278425,2024-09-06,Brookline Community Center,15
37278426,2024-09-06,Magee Community Center,30
37278427,2024-09-06,Jefferson Community Center,18
37278428,2024-09-06,Paulson Community Center,27
37278429,2024-09-06,Ormsby Community Center,6
37278430,2024-09-06,West Penn Community Center,25
37278431,2024-09-06,Warrington Community Center,7
37278432,2024-09-05,Phillips Community Center,6
37278433,2024-09-05,Ammon Community Center,1
37278434,2024-09-05,Arlington Community Center,7
37278435,2024-09-05,Brookline Community Center,34
37278436,2024-09-05,Magee Community Center,37
37278437,2024-09-05,Ormsby Community Center,6
37278438,2024-09-05,Paulson Community Center,21
37278439,2024-09-05,Warrington Community Center,10
37278440,2024-09-05,West Penn Community Center,32
37278441,2024-09-04,Phillips Community Center,5
37278442,2024-09-04,Arlington Community Center,8
37278443,2024-09-04,Ammon Community Center,18
37278444,2024-09-04,Brookline Community Center,30
37278445,2024-09-04,Magee Community Center,37
37278446,2024-09-04,Jefferson Community Center,26
37278447,2024-09-04,Paulson Community Center,21
37278448,2024-09-04,Ormsby Community Center,6
37278449,2024-09-04,West Penn Community Center,71
37278450,2024-09-04,Warrington Community Center,23
37278451,2024-09-03,Phillips Community Center,9
37278452,2024-09-03,Ammon Community Center,7
37278453,2024-09-03,Arlington Community Center,8
37278454,2024-09-03,Brookline Community Center,42
37278455,2024-09-03,Jefferson Community Center,13
37278456,2024-09-03,Magee Community Center,50
37278457,2024-09-03,Ormsby Community Center,16
37278458,2024-09-03,Paulson Community Center,31
37278459,2024-09-03,Warrington Community Center,18
37278460,2024-09-03,West Penn Community Center,39
37278461,2024-08-30,Phillips Community Center,6
37278462,2024-08-30,Arlington Community Center,10
37278463,2024-08-30,Ammon Community Center,46
37278464,2024-08-30,Brookline Community Center,27
37278465,2024-08-30,Magee Community Center,35
37278466,2024-08-30,Paulson Community Center,20
37278467,2024-08-30,Ormsby Community Center,3
37278468,2024-08-30,West Penn Community Center,15
37278469,2024-08-30,Warrington Community Center,13
37278470,2024-08-29,Phillips Community Center,13
37278471,2024-08-29,Ammon Community Center,1
37278472,2024-08-29,Arlington Community Center,1
37278473,2024-08-29,Brookline Community Center,29
37278474,2024-08-29,Magee Community Center,29
37278475,2024-08-29,Ormsby Community Center,4
37278476,2024-08-29,Paulson Community Center,28
37278477,2024-08-29,Warrington Community Center,12
37278478,2024-08-29,West Penn Community Center,33
37278479,2024-08-28,Phillips Community Center,15
37278480,2024-08-28,Arlington Community Center,14
37278481,2024-08-28,Ammon Community Center,48
37278482,2024-08-28,Brookline Community Center,26
37278483,2024-08-28,Magee Community Center,23
37278484,2024-08-28,Paulson Community Center,25
37278485,2024-08-28,Ormsby Community Center,5
37278486,2024-08-28,West Penn Community Center,61
37278487,2024-08-28,Warrington Community Center,29
37278488,2024-08-27,Phillips Community Center,22
